release_date,followers
2022-07-22,37504
2020-09-04,99978
2021-04-02,343598
2021-04-20,580
2019-02-13,5715131
2011-09-21,198975
2022-08-05,253877
2014-05-02,417094
2013-08-20,389666
2009-01-01,638829
2014-04-22,81529
2019-10-04,375617
2021-03-26,3073077
2013-05-13,680021
2017-01-13,50032
1993,1032627
2018-02-27,9826
2021-08-27,624487
2004-02-24,636759
2008-07-14,253701
2018-11-30,15045
1995,1032627
2016-07-29,46253
2019-04-26,99147
2001-09-04,167887
2007-09-18,1656488
1962,64995
2004-11-23,636759
2020-07-31,381019
2019-05-03,170362
2008-10-13,1076084
2016-02-02,68019
2017-03-23,146743
2021-08-20,168769
2022-10-18,81529
2012-07-29,28258
2019-12-20,5181
2020-01-10,875887
2019-08-14,274288
2021-03-05,66373
2019-05-10,638829
2003-01-01,377036
2016-02-12,68650
2017-06-23,27964
2008-10-06,168924
2021-03-20,7635
2021-03-12,18794
2013-05-13,680021
2022-01-14,4703788
2022-01-07,18794
2020-04-13,27964
2016-10-28,68317
2017-04-28,520735
2021-02-18,66558
2015-11-13,1037618
2016-07-22,417094
2011-09-07,132908
2022-10-07,680021
2018-07-27,27975
2020-01-17,680021
2012-06-15,417094
2021-10-01,173166
2016-01-15,638829
2017-12-19,3073077
2003-01-01,6124
2017-04-21,102833
2012-03-05,802498
2007-09-18,1656488
2016-09-30,2477
2016-09-30,2477
1958-03-01,539959
2001-09-04,167887
1993-03-01,843026
2009-11-17,19439
1983-01-01,790723
2013-02-02,146743
2020-10-23,37740
2020-07-31,381019
2019-04-20,107590
2020-07-31,381019
2021-08-20,168769
2022-03-11,389666
2022-02-11,381019
2021-08-20,168769
2021-10-01,878055
2020-10-09,28258
2020-02-21,55050
2022-04-01,388275
2022-10-14,22487
2018-11-30,7635
2019-03-06,43188
2019-02-22,105557
2022-09-16,4703788
2021-06-08,55050
2008-01-01,124060
2019-04-12,10295
2015-04-28,3073077
2021-09-17,4703788
2020-01-17,680021
2014-10-28,66281
2018-07-27,252908
2007-04-11,1032627
2006-12-06,1032627
2022-07-01,18794
2016-09-09,99978
2022-08-19,55050
2015-11-13,1037618
2009-06-30,1032627
2020-07-31,520735
2018-03-30,99147
2013-05-13,680021
2021-07-23,375617
2013-06-26,1032627
2017-11-14,100602
2002-10-15,7303760
2018-02-27,9826
2021-02-05,11174
2004-06-22,636759
2021-12-02,27858
2017-01-13,520735
2019-08-02,120624
1966-08-03,189689
2021-05-16,8455
2008-10-13,1076084
2012-01-01,1243
2012-07-24,3073077
2016-09-30,2477
2017-04-28,155525
2018-04-04,94150
2013-08-23,146743
2014-05-06,263607
2021-11-12,1048
2012-06-04,878055
2021-08-20,168769
2017-05-01,46343
2020-10-09,28258
2021-04-02,27858
2018-08-17,624487
2021-08-20,252908
2009-11-16,162102
2020-04-03,4872
2018-03-26,22487
1997,293599
2020-10-09,99147
2022-10-07,680021
2019-05-15,5332
2005-04-11,28636
2018-05-04,485092
2018-06-15,99147
2015-03-25,1032627
2017-12-19,3073077
2015-11-13,1037618
2017-02-10,59572
2018-03-31,105557
2020-07-02,66558
2011,485092
2006,375617
2020-10-21,125973
2020-01-03,155525
2017-09-13,1032627
2016-09-09,99978
2018-06-13,1076084
2016-03-14,104431
2022-10-07,680021
2022-10-07,680021
2016-09-30,2477
2022-09-16,3073077
2012-01-01,78215
2007-01-01,377036
2020-09-11,68317
1993,1032627
2007-10-31,293599
2010-11-17,1032627
2018-10-19,37740
2014-06-17,388275
2022-06-11,78571
2008-04-22,174656
2013-05-22,132908
2020-05-01,146743
2008,155436
2016-03-13,42394
2007-01-01,3514
2016-11-28,168769
2020-05-01,146743
2017-03-23,146743
2020-10-09,28258
2021-10-19,55050
2022-05-06,8089
2019-10-11,27858
2018-08-24,37504
2020-03-27,4872
2020-08-21,60648
2015-03-27,68650
2021-10-21,55050
2019-10-04,26277
2017-05-23,5511
2014-08-05,215486
2017-04-21,1929
2018-04-27,18794
2021-10-15,4703788
1978-01-01,205681
2015-11-13,20636
2019-05-19,417094
2000-10-12,1032627
2018-04-27,7303760
2005-04-11,28636
2007-01-01,133396
